,id,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_labelencoded,oheencoded_Bronx,oheencoded_Brooklyn,oheencoded_Manhattan,oheencoded_Queens,oheencoded_Staten Island,oheencoded_Entire home/apt,oheencoded_Hotel room,oheencoded_Private room,oheencoded_Shared room
143,27883,40.72421,-73.98509,100,30,25,0,65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
144,57754,40.74166,-73.9866,350,2,180,58,76,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
145,106363,40.82772,-73.95284,82,5,452,226,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
146,57874,40.80747,-73.94076,165,3,356,109,62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
147,106906,40.68615,-73.96769,225,7,12,34,41,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
148,107630,40.72741,-73.95466,225,3,328,87,93,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
149,28907,40.77827,-73.94669,150,30,21,365,203,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
150,29013,40.68288,-73.95646,90,30,71,299,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
151,58059,40.8238,-73.94444,65,29,646,5,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
152,152263,40.80494,-73.94998,300,2,323,246,96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
153,58062,40.65912,-73.9842,139,2,25,64,218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154,112304,40.8069,-73.95372,90,30,1,0,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
155,112435,40.69132,-73.97306,95,30,177,365,81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
156,59014,40.71946,-73.98641,180,30,59,365,121,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
157,113092,40.6905,-73.97867,90,30,0,0,81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
158,113265,40.67582,-73.9518,60,30,273,364,52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
159,152819,40.7167,-73.95014,398,3,82,40,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
160,153780,40.72752,-73.98581,199,3,225,3,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
161,59121,40.70271,-73.8993,215,30,4,365,168,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
162,59709,40.7178,-73.9932,300,7,63,50,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
163,115535,40.82402,-73.95263,65,30,34,151,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
164,60164,40.72012,-74.00397,500,30,110,156,199,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
165,115748,40.76406,-73.92266,110,5,39,43,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
166,154934,40.8241,-73.94415,75,30,38,365,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
167,60181,40.7253,-73.98028,195,31,38,62,65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
168,155087,40.67275,-73.97873,625,4,16,191,153,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
169,116551,40.80384,-73.95123,78,30,174,34,96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
170,118061,40.68462,-73.92895,120,30,90,151,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
171,60457,40.73072,-73.99275,250,30,10,0,94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
172,121687,40.71983,-73.95992,200,30,57,88,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
173,60611,40.792667388916016,-73.946533203125,135,30,193,137,62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
174,157673,40.68096,-73.94062,65,30,92,304,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
175,60666,40.81006,-73.94559,111,3,257,35,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
176,158061,40.68511,-73.91927,165,30,27,365,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
177,121861,40.6755,-73.98137,165,2,28,33,153,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
178,60673,40.81562,-73.94674,125,30,3,0,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
179,123784,40.80617,-73.94757,102,3,237,66,96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
180,158176,40.71596,-73.96017,135,30,145,7,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
181,158178,40.71391,-73.96059,105,5,11,0,216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
182,60680,40.72598,-73.97978,130,30,165,334,65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
183,159749,40.68048,-73.93938,81,2,76,1,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
184,125163,40.68595,-73.92923,99,3,73,271,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
185,60794,40.79918,-73.96248,211,30,4,0,204,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
186,159815,40.68048,-73.93938,70,1,62,2,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
187,61509,40.75743,-73.96825,110,200,92,0,129,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
188,159913,40.74389,-74.00068,150,30,27,363,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
189,126443,40.72761,-73.98951,477,2,543,140,65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
190,62891,40.72297,-73.98265,95,4,228,202,65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
191,62925,40.72967,-73.95352,315,3,158,100,93,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
192,126816,40.79907,-73.96517,85,30,3,0,204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
193,162493,40.71174,-73.95798,650,6,51,100,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
194,63588,40.81161,-73.85499,89,30,0,0,39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
195,63610,40.881,-73.83511,97,2,56,364,66,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
196,162508,40.67188,-73.95097,150,7,28,101,52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
197,163814,40.72641,-73.98711,189,2,436,233,65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
198,127387,40.66895,-73.99136,260,30,3,90,87,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
199,63657,40.68253,-73.94295,135,30,268,0,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200,64015,40.72863,-73.9842,200,30,0,0,65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
201,132516,40.7106,-73.85246,120,5,83,102,80,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
202,133025,40.74564,-73.97782,68,30,148,17,139,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
203,166006,40.79864,-73.96209,250,31,193,0,204,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
204,166172,40.68478,-73.9066,55,30,62,0,27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
205,64107,40.67582,-73.94316,100,3,308,0,52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
206,166983,40.68194,-73.99708,350,30,6,0,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
